Apparent Power VA

entity_id,state,last_changed
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:27:35.674Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:27:41.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:27:51.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:27:59.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:28:05.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:28:11.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:28:17.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:28:23.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:28:29.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:28:35.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:28:43.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:28:51.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:29:01.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:29:09.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:29:21.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:29:29.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:29:35.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:29:41.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:30:05.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:30:11.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:30:19.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:30:25.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:30:33.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:30:39.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:30:45.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:30:51.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:30:57.684Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:31:03.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:31:11.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:31:21.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:31:27.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:31:39.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:31:47.674Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:31:55.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:32:07.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:32:13.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:32:19.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:32:25.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:32:47.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:32:55.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:33:07.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:33:13.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:33:21.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:33:29.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:33:37.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:33:43.513Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:33:51.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:33:59.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:34:09.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:34:15.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:34:23.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:34:29.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:34:39.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:34:47.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:34:59.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:35:05.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:35:15.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:35:23.480Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:35:31.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:35:39.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:35:45.884Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:35:51.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:35:59.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:36:05.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:36:29.681Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:36:43.480Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:36:49.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:36:55.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:37:01.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:37:07.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:37:15.481Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:37:21.489Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:37:37.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:37:43.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:37:53.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:37:59.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:38:05.480Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:38:11.481Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:38:23.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:38:31.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:38:37.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:38:43.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:38:53.680Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:38:59.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:39:07.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:39:17.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:39:23.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:39:31.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:39:37.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:39:43.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:39:53.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:40:01.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:40:15.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:40:21.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:40:27.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:40:35.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:40:41.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:40:47.481Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:40:57.681Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:41:03.678Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:41:11.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:41:17.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.71,2026-09-04T22:41:27.480Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:41:33.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:41:41.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:41:47.684Z
